Ticker,Name,start_date,end_date
ACQRW,Independence Holdings Warrant,2021-05-17,2023-03-10
ACR,Acres Commercial Realty,2021-02-17,2023-06-09
ACRE,Ares Commercial Real,2012-04-26,2023-06-09
ACRS,Aclaris Therapeutics ,2015-10-07,2023-06-09
ACRV,Acrivon Therapeutics,2022-11-15,2023-06-09
ACRX,Acelrx Pharmaceuticals,2011-02-11,2023-06-09
ACST,Acasti Pharma Class A,2013-01-07,2023-06-09
ACTG,Acacia Research,2007-05-03,2023-06-09
ACU,Acme United Corporation.,2007-05-16,2023-06-09
ACV,Alberto-Culver Co.,2015-05-22,2023-06-09
ACVA,Acv Auctions,2021-03-24,2023-06-09
ACXP,Acurx Pharmaceuticals,2021-06-25,2023-06-09
ADAG,Adagene,2021-02-09,2023-06-09
ADAP,Adaptimmune Therapeutics Plc American Depositary Shares,2015-05-06,2023-06-09
ADBE,Adobe Systems Inc,2005-01-03,2023-06-09
ADC,Agree Realty Corporation,2007-01-03,2023-06-09
ADD,Color Star Technology,2008-06-16,2023-06-09
ADEA,Adeia,2007-04-26,2023-06-09
ADES,Advanced Emissions Solutions,2007-05-16,2023-06-09
ADI,Analog Devices,2005-01-03,2023-06-09
ADIL,Adial Pharmaceuticals Inc,2018-07-27,2023-06-09
ADILW,Adial Pharmaceuticals Inc Warrant,2018-07-27,2023-06-09
ADM,Archer-Daniels-Midland Co,2005-01-03,2023-06-09
ADMA,Adma Biologics Cmn,2013-10-17,2023-06-09
ADMP,Adamis Pharmaceuticals,2010-04-07,2023-06-09
ADN,Advent Technologies Holdings Class A,2018-11-16,2023-06-09
ADNT,Adient,2016-10-17,2023-06-09
ADNWW,Advent Technologies Holdings Warrant,2019-01-24,2023-06-09
ADP,Automatic Data Processing,2005-01-03,2023-06-09
ADPT,Adaptive Biotechnologies Corporation,2019-06-27,2023-06-09
ADRT,Ault Disruptive Technologies,2022-02-09,2023-06-09
ADSE,ADS-Tec Energy Plc Ordinary Shares,2021-12-23,2023-06-09
ADSEW,ADS-Tec Energy Plc Warrant,2021-12-23,2023-06-09
ADSK,Autodesk,2005-01-03,2023-06-09
ADT,Adt,2018-01-19,2023-06-09
ADTH,Adtheorent Holding Company,2021-12-23,2023-06-09
ADTHW,Adtheorent Holding Company Warrants,2021-04-20,2023-06-08
ADTN,Adtran,2007-04-30,2023-06-09
ADTX,Aditx Therapeutics,2020-06-30,2023-06-09
ADUS,Addus Homecare,2009-10-28,2023-06-09
ADV,Advantage Solutions Class A,2019-09-09,2023-06-09
ADVM,Adverum Biotechnologies,2014-07-31,2023-06-09
ADVWW,Advantage Solutions Warrant,2016-09-15,2023-06-09
ADX,Adams Diversified Equity Fund,2007-05-08,2023-06-09
ADXN,Addex Therapeutics American Depositary Shares,2020-01-29,2023-06-09
AE,Adams Resources,2007-05-16,2023-06-09
AEE,Ameren Corp,2005-01-03,2023-06-09
AEF,Aberdeen Emerging Markets Equity Income Fund,2007-10-02,2023-06-09
AEG,Aegon N.V.,2007-01-03,2023-06-09
AEHL,Antelope Enterprise Holdings,2010-01-25,2023-06-09
AEHR,Aehr Test Systems,2007-05-16,2023-06-09
AEI,Alset Ehome International,2020-11-24,2023-06-09
AEIS,Advanced Energy Inds,2007-04-30,2023-06-09
AEL,American Equity Investment Life Holding Company,2007-01-03,2023-06-09
AEM,Agnico Eagle Mines Limited,2007-01-03,2023-06-09
AEMD,Aethlon Medical,2007-05-16,2023-06-09
AENT,Bldrs Asia 50 ADR Index Fund,2021-03-24,2023-04-20
AENZ,Aenza S.A.A. American Depositary Shares,2018-07-06,2023-06-09
AEO,American Eagle Outfitters,2007-03-08,2023-06-09
AEP,American Electric Power,2005-01-03,2023-06-09
AEPPZ,American Electric Power Company Corporate Units,2020-10-01,2023-06-09
AER,Aercap Holdings N.V.,2007-01-03,2023-06-09
AERC,Aeroclean Technologies,2021-11-24,2023-01-11
AERI,Aerie Pharmaceuticals Co,2013-10-25,2022-11-18
AES,Aes Corp,2005-01-03,2023-06-09
AESC,The Aes Corporate Units,2021-03-15,2023-06-09
AESE,Allied Esports Entertainment,2017-10-25,2022-11-30
AESI,Atlas Energy Solutions,2023-03-09,2023-06-09
AEVA,Aeva Technologies ,2020-02-27,2023-06-09
AEY,Addvantage Technologies,2007-05-16,2023-06-09
AEYE,Audioeye,2018-09-04,2023-06-09
AEZS,Aeterna Zentaris,2007-05-17,2023-06-09
AFAR,Aura Fat Projects Acquisition Corp,2022-06-03,2023-06-09
AFB,Alliancebernstein National Municipal Income Fund Inc,2007-05-16,2023-06-09
AFBI,Affinity Bancshares,2020-07-23,2023-06-09
AFCG,Afc Gamma,2021-03-19,2023-06-09
AFG,American Financial,2007-01-03,2023-06-09
AFGE,American Financial  4.500% Subordinated Debentures Due 2060,2020-09-18,2023-06-09
AFIB,Acutus Medical,2020-08-06,2023-06-09
AFL,Aflac Inc,2005-01-03,2023-06-09
AFMD,Affimed N.V.,2014-09-12,2023-06-09
AFRI,Forafric Global Plc Ordinary Shares,2022-06-10,2023-06-09
AFRIW,Forafric Global Plc Warrants,2022-06-10,2023-06-09
AFRM,Affirm,2021-01-13,2023-06-09
AFT,Apollo Senior Floating Rate Fund,2011-02-24,2023-06-09
AFYA,Afya Limited,2019-07-19,2023-06-09
AG,First Majestic Silver,2010-12-15,2023-06-09
AGAE,Allied Gaming & Entertainment,2017-10-25,2023-06-09
AGBA,Agba Holding,2019-07-30,2023-06-09
AGCB,Altimeter Growth 2,2021-01-07,2022-12-20
AGCO,Agco Corporation,2009-05-04,2023-06-09
AGD,Aberdeen Global Dynamic Dividend Fund,2007-05-02,2023-06-09
AGE,Agex Therapeutics,2018-11-29,2023-06-09
AGEN,Agenus,2007-05-09,2023-06-09
AGFY,Agrify,2021-01-28,2023-06-09
AGGRU,Agile Growth Units,2021-03-10,2023-03-10
AGGRW,Agile Growth Warrant.,2021-05-05,2023-03-10
AGI,Alamos Gold,2015-07-06,2023-06-09
AGIL,Agilethought Class A,2020-01-14,2023-06-09
AGILW,Agilethought Warrant,2020-01-14,2023-06-08
AGIO,Agios Pharmaceuticals,2013-07-24,2023-06-09
AGL,Agilon Health,2021-04-15,2023-06-09
AGLE,Aeglea Biotherapeutics,2016-04-07,2023-06-09
AGM,Federal Agricultural Mortgage,2007-05-04,2023-06-09
AGMH,Agm Holdings Class A Ordinary Shares,2018-04-18,2023-06-09
AGNC,Agnc Investment,2008-05-15,2023-06-09
AGNCN,Agnc Investment Depositary Shares Each Representing A 1/1000Th Interest In A Share Of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,2017-08-28,2023-06-09
AGNCP,Agnc Investment Depositary Shares Each Representing A 1/1000Th Interest In A Share Of 6.125% Series F Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,2020-02-04,2023-06-09
AGO,Assured Guaranty Ltd.,2007-01-03,2023-06-09
AGR,Avangrid,2015-12-17,2023-06-09
AGRI,Agriforce Growing Systems,2021-07-08,2023-06-09
AGRIW,Agriforce Growing Systems Warrant,2021-07-08,2023-06-09
AGRO,Adecoagro S.A.,2011-01-28,2023-06-09
AGRX,Agile Therapeutics Commo,2014-05-23,2023-06-09
AGS,Playags,2018-01-26,2023-06-09
AGTC,Applied Genetic Technologies C,2014-03-27,2022-11-30
AGTI,Agiliti,2021-04-23,2023-06-09
AGX,Argan,2007-08-22,2023-06-09
AGYS,Agilysys,2007-05-03,2023-06-09
AHCO,Adapthealth Corp,2018-05-24,2023-06-09
AHG,Akso Health ADS,2017-11-03,2023-06-09
AHH,Armada Hoffler Properties,2013-08-05,2023-06-09
AHI,Advanced Human Imaging Limited. American Depositary Shares,2021-11-19,2023-06-09
AHPI,Allied Healthcare Products,2007-05-16,2023-03-03
AHT,Ashford Hospitality Trust Inc,2007-05-04,2023-06-09
AI,C3 Ai,2020-12-09,2023-06-09
AIF,Apollo Tactical Income Fund,2013-02-26,2023-06-09
AIG,American International,2005-01-03,2023-06-09
AIH,Aesthetic Medical International Holdings American Depositary Shares,2019-10-25,2023-06-09
AIHS,Senmiao Technology,2018-03-16,2023-06-09
AIKI,Aikido Pharma,2009-11-16,2022-12-21
AIM,Aim Immunotech,2007-05-07,2023-06-09
AIMAU,Aimfinity Investment I,2022-04-26,2023-06-08
AIMAW,Aimfinity Investment I Warrant,2022-06-17,2023-06-09
AIMC,Altra Industrial Motion,2007-01-03,2023-03-24
AIMD,Ainos,2007-05-16,2023-06-09
AIN,Albany International,2007-01-03,2023-06-09
AINC,Ashford,2014-11-07,2023-06-09
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares Of Beneficial Interest,2019-10-29,2023-06-09
AIP,Arteris,2007-05-17,2023-06-09
AIR,Aar,2007-05-02,2023-06-09
AIRC,Taxable Apartment Income Reit,2020-12-15,2023-06-09
AIRG,Airgain,2016-08-12,2023-06-09
AIRI,Air Industries,2007-07-16,2023-06-09
AIRS,Airsculpt Technologies,2021-10-29,2023-06-09
AIRT,Air T,2007-05-16,2023-06-09
AIRTP,Air T Air T Funding Alpha Income Trust Preferred Securities,2019-06-11,2023-06-09
AIT,Applied Industrial Technologies,2007-01-03,2023-06-09
AIU,Meta Data ADS,2022-05-02,2023-06-09
AIV,Apartment Investment & Management,2009-07-21,2023-06-09
AIXI,Xiao-I Corporation,2023-03-09,2023-06-09
AIZ,Assurant,2005-01-03,2023-06-09
AJG,Arthur J. Gallagher & Co.,2005-01-03,2023-06-09
AJRD,Aerojet Rocketdyne Holdings,2007-04-26,2023-06-09
AJX,Great Ajax Corp,2015-02-13,2023-06-09
AKA,A.K.A. Brands Holding,2021-09-22,2023-06-09
AKAM,Akamai Technologies Inc,2005-01-03,2023-06-09
AKAN,Akanda Common Shares,2022-03-15,2023-06-09
AKBA,Akebia Therapeutics Comm,2014-03-20,2023-06-09
AKLI,Akili,2021-06-30,2023-06-09
AKO.A,Embotelladora Andina S.A.,2007-05-16,2023-06-09
AKO.B,Embotelladora Andina S.A.,2007-05-16,2023-06-09
AKR,Acadia Realty Trust,2007-05-01,2023-06-09
AKRO,Akero Therapeutics,2019-06-20,2023-06-09
AKTS,Akoustis Technologies,2017-03-13,2023-06-09
AKTX,Akari Therapeutics Plc ADS,2014-01-31,2023-06-09
AKU,Akumin Common Shares,2020-09-03,2023-06-09
AKUS,Akouos,2020-06-26,2022-11-30
AKYA,Akoya Biosciences,2021-04-16,2023-06-09
AL,Air Lease Corporation,2011-04-19,2023-06-09
ALAR,Alarum Technologies,2018-09-11,2023-06-09
ALB,Albemarle Corp,2005-01-03,2023-06-09
ALBO,Albireo Pharma,2007-05-16,2023-03-02
ALBT,Avalon Globocare,2018-03-26,2023-06-09
ALC,Alcon,2019-04-09,2023-06-09
ALCO,Alico,2007-05-16,2023-06-09
ALDX,Aldeyra Therapeutics ,2014-05-02,2023-06-09
ALE,Allete,2007-01-03,2023-06-09
ALEC,Alector,2019-02-07,2023-06-09
ALEX,Alexander & Baldwin,2012-07-02,2023-06-09
ALFIQ,Alfi Inc,2021-05-04,2023-04-26
ALFIW,Alfi Warrant,2021-05-04,2022-10-24
ALG,Alamo,2007-05-16,2023-06-09
ALGM,Allegro Microsystems,2020-11-02,2023-06-09
ALGN,Align Technology,2007-05-01,2023-06-09
ALGS,Aligos Therapeutics,2020-10-16,2023-06-09
ALGT,Allegiant Travel,2007-05-16,2023-06-09
ALHC,Alignment Healthcare,2021-03-26,2023-06-09
ALIM,Alimera Sciences,2010-04-22,2023-06-09
ALIT,Alight ,2020-07-17,2023-06-09
ALJJ,Alj Regional Holdings,2007-05-16,2023-05-25
ALK,Alaska Air Inc,2005-01-03,2023-06-09
ALKS,Alkermes Plc,2007-01-03,2023-06-09
ALKT,Alkami Technology,2021-04-14,2023-06-09
ALL,Allstate Corp,2005-01-03,2023-06-09
ALLE,Allegion,2013-11-18,2023-06-09
ALLG,Allego N.V.,2022-03-17,2023-06-09
ALLK,Allakos,2018-07-19,2023-06-09
ALLO,Allogene Therapeutics,2018-10-11,2023-06-09
ALLR,Allarity Therapeutics,2021-12-21,2023-06-09
ALLT,Allot Ordinary Shares,2007-04-27,2023-06-09
ALLY,Ally Financial,2014-04-10,2023-06-09
ALNY,Alnylam Pharmaceuticals,2007-01-03,2023-06-09
ALOT,Astronova,2007-05-16,2023-06-09
ALPN,Alpine Immune Sciences,2015-06-17,2023-06-09
ALPP,Alpine 4 Holdings Class A,2017-01-13,2023-06-09
ALPS,Alpine Summit Energy Partners Class A Subordinate,2022-09-28,2023-06-09
ALRM,Alarm.com Holdings,2015-06-26,2023-06-09
ALRN,Aileron Therapeutics,2017-06-29,2023-06-09
ALRS,Alerus Finl Corp,2007-05-17,2023-06-09
ALSN,Allison Transmission Holdings,2012-03-15,2023-06-09
ALTG,Alta Equipment,2019-04-25,2023-06-09
ALTI,Alvarium Tiedemann Holdings Class A,2021-04-27,2023-06-09
ALTO,Alto Ingredients ,2007-04-25,2023-06-09
ALTR,Altair Engineering,2017-11-01,2023-06-09
ALV,Autoliv,2007-01-03,2023-06-09
ALVO,Alvotech Ordinary Shares,2022-06-16,2023-06-09
ALVOW,Alvotech Warrant,2022-06-16,2023-06-09
ALVR,Allovir,2020-07-30,2023-06-09
ALX,Alexander's,2007-05-16,2023-06-09
ALXO,Alx Oncology Holdings,2020-07-17,2023-06-09
ALYA,Alithya  Class A Subordinate Voting Shares,2018-11-01,2023-06-09
ALZN,Alzamend Neuro,2021-06-15,2023-06-09
AM,Antero Midstream Corporation,2017-05-04,2023-06-09
AMAL,Amalgamated Bank,2018-08-09,2023-06-09
AMAM,Ambrx Biopharma,2021-06-18,2023-06-09
AMAT,Applied Materials,2005-01-03,2023-06-09
AMBA,Ambarella,2012-10-10,2023-06-09
AMBC,Ambac Financial,2013-05-01,2023-06-09
AMBI,Ambipar Emergency Response,2020-09-09,2023-04-26
AMBO,Ambow Education Holding ADS Each Representing Two Class A Ordinary Shares,2018-06-01,2023-06-09
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,2020-09-29,2023-06-09
AMC,Amc Entertainment,2013-12-18,2023-06-09
AMCR,Amcor Plc,2019-06-11,2023-06-09
AMCX,Amc Networks,2011-06-16,2023-06-09
AMD,Advanced Micro Devices Inc,2005-01-03,2023-06-09
AME,Ametek,2005-01-03,2023-06-09
AMED,Amedisys,2007-01-03,2023-06-09
AMEH,Apollo Medical,2015-06-03,2023-06-09
AMG,Affiliated Managers Inc,2005-01-03,2023-06-09
AMGN,Amgen,2005-01-03,2023-06-09
AMH,American Homes 4 Rent,2013-08-01,2023-06-09
AMK,Assetmark Financial,2019-07-18,2023-06-09
AMKR,Amkor Technology,2007-01-03,2023-06-09
AMLI,American Lithium,2023-01-10,2023-06-09
AMLX,Amylyx Pharmaceuticals ,2022-01-07,2023-06-09
AMN,Amn Healthcare Services,2007-06-04,2023-06-09
AMNB,American National,2007-05-16,2023-06-09
AMOT,Allied Motion,2007-05-16,2023-06-09
AMOV,America Movil S.A.B. De C.V. Class A American Depositary Shares,2007-05-16,2023-03-15
AMP,Ameriprise Financial,2005-10-03,2023-06-09
AMPE,Ampio Pharmaceuticals,2011-05-19,2023-06-09
AMPG,Amplitech,2021-02-17,2023-06-09
AMPH,Amphastar Pharmaceuticals,2014-06-25,2023-06-09
AMPI,Advanced Merger Partners Class A,2021-04-22,2022-12-14
AMPL,Amplitude  Class A,2021-09-28,2023-06-09
AMPS,Altus Power Class A,2021-02-01,2023-06-09
AMPX,Amprius Technologies,2022-09-15,2023-06-09
AMPY,Amplify Energy,2017-05-19,2023-06-09
AMR,Alpha Metallurgical Resources ,2016-08-18,2023-06-09
AMRC,Ameresco,2010-07-22,2023-06-09
AMRK,A-Mark Precious Metals C,2014-03-17,2023-06-09
AMRN,Amarin Plc,2008-02-19,2023-06-09
AMRS,Amyris,2010-09-28,2023-06-09
AMRX,Amneal Pharmaceuticals,2018-05-07,2023-06-09
AMS,American Shared Hospital Services,2007-05-16,2023-06-09
AMSC,American Superconductor Corpor,2007-04-30,2023-06-09
AMSF,Amerisafe,2007-05-08,2023-06-09
AMST,Amesite,2020-09-25,2023-06-09
AMSWA,American Software,2007-05-09,2023-06-09
AMT,American Tower,2012-01-03,2023-06-09
AMTB,Amerant Bancorp,2018-08-29,2023-06-09
AMTD,Amtd Idea American Depositary Shares Each Representing One Class A Ordinary Share,2022-01-31,2023-06-09
AMTI,Applied Molecular Transport,2020-06-05,2023-06-09
AMTX,Aemetis,2007-12-11,2023-06-09
AMWD,American Woodmark,2007-04-20,2023-06-09
AMWL,Amwell Health,2020-09-17,2023-06-09
AMX,America Movil S.A.B. De C.V. American Depository Receipt Series L,2007-04-30,2023-06-09
AMZN,Amazon.com,2005-01-03,2023-06-09
AN,Autonation,2005-01-03,2023-06-09
ANAB,Anaptysbio,2017-01-26,2023-06-09
ANDE,Andersons,2007-05-02,2023-06-09
ANEB,Anebulo Pharmaceuticals,2021-05-07,2023-06-09
ANET,Arista Networks,2014-06-06,2023-06-09
ANF,Abercrombie & Fitch Company,2005-01-03,2023-06-09
ANGH,Anghami Ordinary Shares,2022-02-04,2023-06-09
ANGHW,Anghami Warrants,2022-02-04,2023-06-09
ANGI,Angi Homeservices,2017-10-02,2023-06-09
ANGN,Angion Biomedica,2021-02-05,2023-06-01
ANGO,Angiodynamics,2007-05-07,2023-06-09
ANIK,Anika Therapeutics,2007-04-27,2023-06-09
ANIP,Ani Pharmaceuticals,2007-11-05,2023-06-09
ANIX,Anixa Biosciences,2007-05-16,2023-06-09
ANNX,Annexon Biosciences,2020-07-24,2023-06-09
ANSS,Ansys,2005-01-03,2023-06-09
ANTE,Airnet Technology American Depositary Shares,2007-11-07,2023-06-09
ANTX,An2 Therapeutics,2022-03-25,2023-06-09
ANVS,Annovis Bio,2020-01-29,2023-06-09
ANY,Sphere 3D Common Shares,2014-07-07,2023-06-09
AOD,Aberdeen Total Dynamic Dividend Fund,2007-05-16,2023-06-09
AOMR,Angel Oak Mortgage,2021-06-17,2023-06-09
AON,Aon Plc,2007-04-30,2023-06-09
AORT,Artivion,2007-05-10,2023-06-09
AOS,A.O. Smith Corp,2007-04-02,2023-06-09
AOSL,Alpha & Omega,2010-04-29,2023-06-09
AOUT,American Outdoor Brands,2020-08-21,2023-06-09
AP,Ampco-Pittsburgh,2007-05-09,2023-06-09
APA,Apache Corporation,2005-01-03,2023-06-09
APAM,Artisan Partners Asset Management,2013-03-07,2023-06-09
APCX,Apptech Payments,2017-05-08,2023-06-09
APCXW,Apptech Payments Warrant,2022-01-05,2023-06-09
APD,Air Products & Chemicals Inc,2005-01-03,2023-06-09
APDN,Applied Dna Sciences,2007-05-16,2023-06-09
APE,Amc Entertainment Holdings Amc Preferred Equity Units,2022-08-22,2023-06-09
APEI,American Public Education,2007-11-09,2023-06-09
APGB,Apollo Strategic Growth Capital Ii Class A Ordinary Shares,2021-04-05,2023-06-09
APGN,Apexigen,2021-02-22,2023-06-09
APH,Amphenol Corp,2005-01-03,2023-06-09
API,Agora,2020-06-26,2023-06-09
APLD,Applied Blockchain,2009-12-10,2023-06-09
APLE,Apple Hospitality Reit,2015-05-18,2023-06-09
APLS,Apellis Pharmaceuticals,2017-11-09,2023-06-09
APLT,Applied Therapeutics,2019-05-14,2023-06-09
APM,Aptorum Class A Ordinary Shares,2018-12-18,2023-06-09
APNC,Apeiron Capital Investment Corp,2021-12-30,2023-04-26
APO,Apollo Global Management,2011-03-30,2023-06-09
APOG,Apogee Enterprises,2007-05-08,2023-06-09
APP,Applovin,2021-04-15,2023-06-09
APPF,Appfolio,2015-06-26,2023-06-09
APPH,Appharvest ,2020-06-12,2023-06-09
APPHW,Appharvest Warrants,2020-06-16,2023-06-09
APPN,Appian Corporation,2017-05-25,2023-06-09
APPS,Digital Turbine,2007-11-26,2023-06-09
APRE,Aprea Therapeutics,2019-10-03,2023-06-09
APRN,Blue Apron Holdings Class A,2017-06-29,2023-06-09
APT,Alpha Pro Tech,2007-05-16,2023-06-09
APTM,Alpha Partners Technology Merger Class A Ordinary Shares,2021-09-23,2023-06-09
APTMU,Alpha Partners Technology Merger Unit,2021-07-28,2023-06-09
APTMW,Alpha Partners Technology Merger Warrant,2021-09-27,2023-06-08
APTO,Aptose Biosciences Common Shares,2008-10-31,2023-06-09
APTV,Aptiv Plc,2011-11-17,2023-06-09
APTX,Aptinyx,2018-06-21,2023-06-09
APVO,Aptevo Therapeutics,2016-07-20,2023-06-09
APWC,Asia Pacific Wire & Cable Ordinary Shares,2011-04-29,2023-06-09
APYX,Apyx Medical Corp,2007-05-16,2023-06-09
AQB,Aquabounty Technologies,2017-01-11,2023-06-09
AQMS,Aqua Metals,2015-07-31,2023-06-09
AQN,Algonquin Power & Utilities,2016-11-29,2023-06-09
AQNU,Algonquin Power & Utilities Corporate Units,2021-06-29,2023-06-09
AQST,Aquestive Therapeutics,2018-07-25,2023-06-09
AQU,Aquaron Acquisition,2022-10-19,2023-06-09
AQUA,Evoqua Water Technologies,2017-11-02,2023-05-23
AR,Antero Resources Corp,2013-10-10,2023-06-09
ARAV,Aravive,2014-03-21,2023-06-09
ARAY,Accuray,2007-05-16,2023-06-09
ARBB,Arb Iot Limited,2023-04-05,2023-06-09
ARBE,Arbe Robotics Ordinary Shares,2021-10-08,2023-06-09
ARBEW,Arbe Robotics Warrant,2021-10-08,2023-06-09
ARBK,Argo Blockchain Plc American Depositary Shares,2021-09-23,2023-06-09
ARC,Arc Document Solutions,2007-05-03,2023-06-09
ARCB,Arcbest O,2007-04-27,2023-06-09
ARCC,Ares Capital Corporation,2012-10-08,2023-06-09
ARCE,Arco Platform Limited,2018-09-26,2023-06-09
ARCH,Arch Resources,2016-10-05,2023-06-09
ARCK,Arbor Rapha Capital Bioholdings I Class A,2021-12-20,2023-01-12
ARCKU,Arbor Rapha Capital Bioholdings I Units,2021-10-29,2023-01-12
ARCKW,Arbor Rapha Capital Bioholdings I Warrants,2021-12-20,2023-01-10
ARCO,Arcos Dorados Holdings,2011-04-14,2023-06-09
ARCT,Arcturus Therapeutics,2013-05-22,2023-06-09
ARDC,Ares Dynamic Credit Allocation Fund Common Shares,2012-11-28,2023-06-09
ARDS,Aridis Pharmaceuticals,2018-08-14,2023-06-09
ARDX,Ardelyx,2014-06-19,2023-06-09
ARE,Alexandria Real Estate Equities,2005-01-03,2023-06-09
AREB,American Rebel Holdings,2018-01-23,2023-06-09
AREBW,American Rebel Holdings Warrants,2022-02-07,2023-06-09
AREC,American Resources Class A,2015-11-25,2023-06-09
AREN,The Arena Holdings,2022-02-09,2023-06-09
ARES,Ares Management Corporation,2014-05-02,2023-06-09
ARGO,Argo International,2018-03-14,2023-06-09
ARGU,Argus Capital Class A,2021-11-15,2022-12-19
ARGUW,Argus Capital Warrant,2021-11-12,2022-12-19
ARGX,Argenx Se,2017-05-18,2023-06-09
ARHS,Arhaus,2021-11-04,2023-06-09
ARI,Apollo Commercial,2009-09-24,2023-06-09
ARIS,Aris Water Solutions Class A,2021-10-22,2023-06-09
ARKO,Arko,2020-12-23,2023-06-09
ARKOW,Arko Warrant,2020-12-23,2023-06-08
ARKR,ARKRestaurants,2007-05-16,2023-06-09
ARL,American Realty Investors,2007-05-16,2023-06-09
ARLO,Arlo Technologies,2018-08-03,2023-06-09
ARLP,Alliance Resource Partners Lp,2007-04-26,2023-06-09
ARMK,Aramark,2013-12-12,2023-06-09
ARMP,Armata Pharmaceuticals,2015-08-21,2023-06-09
ARNC,Arconic,2020-04-01,2023-06-09
AROC,Archrock,2007-08-21,2023-06-09
AROW,Arrow Financial,2007-05-02,2023-06-09
ARQQ,Arqit Quantum Ordinary Shares,2021-09-07,2023-06-09
